,Food label,Substitution label
1,"BUTTER,WITH SALT","MILK,BTTRMLK,FLUID,CULTURED,LOWFAT"
8,"BUTTER,WITH SALT","CHEESE,CREAM"
1,"BUTTER OIL,ANHYDROUS","CHEESE,PROVOLONE"
7,"BUTTER OIL,ANHYDROUS","CHEESE,MUENSTER"
0,"CHEESE,BLUE","CHEESE,SWISS"
4,"CHEESE,BLUE","CHEESE,FONTINA"
0,"CHEESE,BRICK","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY"
5,"CHEESE,BRICK","CHEESE,MOZZARELLA,WHL MILK"
3,"CHEESE,CHEDDAR","CHEESE,SWISS"
8,"CHEESE,CHEDDAR","CHEESE,FONTINA"
0,"CHEESE,EDAM","CHEESE,WHITE,QUESO BLANCO"
3,"CHEESE,EDAM","CHEESE,MOZZARELLA,LO MOIST,PART-SKIM"
2,"CHEESE,FETA","CHEESE,SWISS"
7,"CHEESE,FETA","CHEESE,CHEDDAR"
1,"CHEESE,FONTINA","CHEESE,SWISS"
2,"CHEESE,FONTINA","CHEESE,COLBY"
0,"CHEESE,GOUDA","CHEESE,MEXICAN BLEND"
2,"CHEESE,GOUDA","CHEESE,MOZZARELLA,LO MOIST,PART-SKIM"
0,"CHEESE,GRUYERE","MILK,BTTRMLK,FLUID,CULTURED,LOWFAT"
6,"CHEESE,GRUYERE","CHEESE,COLBY"
0,"CHEESE,MONTEREY","CHEESE,MOZZARELLA,LO MOIST,PART-SKIM"
5,"CHEESE,MONTEREY","CHEESE,PROVOLONE,RED FAT"
1,"CHEESE,MOZZARELLA,WHL MILK","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY"
2,"CHEESE,MOZZARELLA,WHL MILK","CHEESE,PROVOLONE,RED FAT"
3,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM","CHEESE,MONTEREY"
8,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM","CHEESE,PROVOLONE,RED FAT"
0,"CHEESE,PARMESAN,GRATED","CHEESE,FETA"
1,"CHEESE,PARMESAN,GRATED","CHEESE,SWISS"
0,"CHEESE,PARMESAN,HARD","CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D"
8,"CHEESE,PARMESAN,HARD","CHEESE,FRSH,QUESO FRESCO"
1,"CHEESE,PROVOLONE","CHEESE,FRSH,QUESO FRESCO"
4,"CHEESE,PROVOLONE","CHEESE,MEXICAN,QUESO ASADERO"
1,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D","CHEESE,PARMESAN,HARD"
3,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D","CHEESE,FRSH,QUESO FRESCO"
0,"CHEESE,PAST PROCESS,PIMENTO","CHEESE SPRD,PAST PROCESS,AMERICAN"
8,"CHEESE,PAST PROCESS,PIMENTO","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY"
0,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT","CHEESE,MUENSTER"
2,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT","CHEESE,MOZZARELLA,LO MOIST,PART-SKIM"
0,"CHEESE SPRD,PAST PROCESS,AMERICAN","CHEESE,PAST PROCESS,PIMENTO"
5,"CHEESE SPRD,PAST PROCESS,AMERICAN","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY"
0,"MILK,LO NA,FLUID","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D"
1,"MILK,LO NA,FLUID","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D"
1,"MILK,DRY,WHL,W/ ADDED VITAMIN D","MILK,CND,COND,SWTND"
7,"MILK,DRY,WHL,W/ ADDED VITAMIN D","CREAM,FLUID,HVY WHIPPING"
0,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","EGG,WHITE,RAW,FRESH"
3,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)"
1,"MILK,CND,COND,SWTND","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ"
7,"MILK,CND,COND,SWTND","CREAM,FLUID,LT WHIPPING"
3,"EGG SUBSTITUTE,POWDER","YOGURT,GREEK,PLN,NONFAT"
6,"EGG SUBSTITUTE,POWDER","CHEESE,COTTAGE,CRMD,LRG OR SML CURD"
0,"CHEESE,MEXICAN,QUESO ANEJO","CHEESE,PROVOLONE,RED FAT"
1,"CHEESE,MEXICAN,QUESO ANEJO","CHEESE,FRSH,QUESO FRESCO"
0,"CHEESE,MEXICAN,QUESO ASADERO","CHEESE,FRSH,QUESO FRESCO"
3,"CHEESE,MEXICAN,QUESO ASADERO","CHEESE,MUENSTER"
0,"CHEESE,MEXICAN,QUESO CHIHUAHUA","CHEESE,PROVOLONE,RED FAT"
3,"CHEESE,MEXICAN,QUESO CHIHUAHUA","CHEESE,MEXICAN,QUESO ASADERO"
6,"CHEESE,LOFAT,CHEDDAR OR COLBY","CHEESE,COTTAGE,CRMD,LRG OR SML CURD"
9,"CHEESE,LOFAT,CHEDDAR OR COLBY","SOUR CREAM,LIGHT"
6,"SOUR CREAM,LIGHT","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ"
7,"SOUR CREAM,LIGHT","YOGURT,GREEK,PLN,NONFAT"
2,"SOUR CREAM,FAT FREE","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D"
4,"SOUR CREAM,FAT FREE","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D"
2,"CHEESE,FRSH,QUESO FRESCO","CHEESE,MEXICAN,QUESO ASADERO"
7,"CHEESE,FRSH,QUESO FRESCO","CHEESE,PROVOLONE,RED FAT"
0,"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA","MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK"
1,"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA","ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED"
2,"ALLSPICE,GROUND","THYME,FRSH"
8,"ALLSPICE,GROUND",DILL SEED
3,"SPICES,BAY LEAF","DILL WEED,DRIED"
9,"SPICES,BAY LEAF","PEPPERMINT,FRESH"
3,"SPICES,CARDAMOM","MARJORAM,DRIED"
8,"SPICES,CARDAMOM","THYME,FRSH"
1,CELERY SEED,ONION POWDER
3,CELERY SEED,"PEPPERMINT,FRESH"
0,CHILI POWDER,"PEPPER,BLACK"
3,CHILI POWDER,"PEPPER,RED OR CAYENNE"
0,"CLOVES,GROUND","SPICES,CARDAMOM"
1,"CLOVES,GROUND","MARJORAM,DRIED"
6,"CORIANDER LEAF,DRIED","THYME,FRSH"
7,"CORIANDER LEAF,DRIED","MARJORAM,DRIED"
0,CUMIN SEED,"SPICES,OREGANO,DRIED"
5,CUMIN SEED,"MARJORAM,DRIED"
2,"DILL WEED,DRIED","PEPPERMINT,FRESH"
3,"DILL WEED,DRIED",CORIANDER SEED
8,GARLIC POWDER,"MARJORAM,DRIED"
9,GARLIC POWDER,"SPICES,OREGANO,DRIED"
0,"GINGER,GROUND","SPICES,TARRAGON,DRIED"
8,"GINGER,GROUND","PEPPERMINT,FRESH"
