,Food label,Subs A,Subs B,True label
0,"BUTTER OIL,ANHYDROUS","CHEESE,MEXICAN,QUESO CHIHUAHUA","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",B
1,"CHEESE,BRICK","CHEESE,MOZZARELLA,WHL MILK","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",B
2,"CHEESE,CHEDDAR","CHEESE,COLBY","EGG,WHL,RAW,FRSH",B
3,"CHEESE,FETA","CHEESE,FONTINA","CHEESE,SWISS",B
4,"CHEESE,FONTINA","CHEESE,BRIE","CHEESE,SWISS",B
5,"CHEESE,GOUDA","CHEESE,MEXICAN BLEND","CHEESE,PROVOLONE,RED FAT",A
6,"CHEESE,GRUYERE","CHEESE,BRIE","CHEESE,RICOTTA,WHOLE MILK",B
7,"CHEESE,LIMBURGER","CHEESE,MEXICAN,QUESO ASADERO","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",B
8,"CHEESE,MONTEREY","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MOZZARELLA,WHL MILK",A
9,"CHEESE,MOZZARELLA,PART SKIM MILK","MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D","CREAM,HALF & HALF,FAT FREE",A
10,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MOZZARELLA,WHL MILK",A
11,"CHEESE,PARMESAN,GRATED","CHEESE,CHEDDAR","CHEESE,SWISS",B
12,"CHEESE,PARMESAN,HARD","CHEESE,MOZZARELLA,LO MOIST,PART-SKIM","CHEESE,LIMBURGER",A
13,"CHEESE,PROVOLONE","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MUENSTER",A
14,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D","CHEESE,MOZZARELLA,LO MOIST,PART-SKIM","CHEESE,LIMBURGER",A
