,Food label,Subs A,Food Nutri-Value,Subs A Nutri-Value,Subs B,Subs B Nutri-Value
0,"BUTTER,WITH SALT","MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",25,1,"CHEESE,CREAM",15
1,"BUTTER OIL,ANHYDROUS","CHEESE,PROVOLONE",20,18,"CHEESE,MUENSTER",15
2,"CHEESE,BLUE","CHEESE,SWISS",19,9,"CHEESE,FONTINA",17
3,"CHEESE,BRICK","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",15,9,"CHEESE,MOZZARELLA,WHL MILK",14
4,"CHEESE,EDAM","CHEESE,WHITE,QUESO BLANCO",18,15,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",15
5,"CHEESE,FETA","CHEESE,SWISS",18,9,"CHEESE,CHEDDAR",17
6,"CHEESE,FONTINA","CHEESE,SWISS",17,9,"CHEESE,COLBY",15
7,"CHEESE,GOUDA","CHEESE,MEXICAN BLEND",18,12,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",15
8,"CHEESE,GRUYERE","MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",17,1,"CHEESE,COLBY",15
9,"CHEESE,PARMESAN,GRATED","CHEESE,FETA",20,18,"CHEESE,SWISS",9
10,"CHEESE,PARMESAN,HARD","CHEESE,PROVOLONE",19,18,"CHEESE,FRSH,QUESO FRESCO",16
11,"CHEESE,PROVOLONE","CHEESE,FRSH,QUESO FRESCO",18,16,"CHEESE,MEXICAN,QUESO ASADERO",16
12,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D","CHEESE,FRSH,QUESO FRESCO",19,16,"CHEESE,PROVOLONE",18
13,"CHEESE,PAST PROCESS,PIMENTO","CHEESE,PROVOLONE",19,18,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",9
14,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT","CHEESE,MUENSTER",20,15,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",15
15,"CHEESE SPRD,PAST PROCESS,AMERICAN","CHEESE,PROVOLONE",19,18,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",9
16,"MILK,LO NA,FLUID","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",1,0,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",-1
17,"MILK,DRY,WHL,W/ ADDED VITAMIN D","MILK,CND,COND,SWTND",23,16,"CREAM,FLUID,HVY WHIPPING",13
18,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","EGG,WHITE,RAW,FRESH",14,-4,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",11
19,"MILK,CND,COND,SWTND","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",16,-2,"CREAM,FLUID,LT WHIPPING",12
