,u,v,Food id,Substitution id,Scores,Scores (Sigmoid),Food label,Substitution label,Food Nutri-Value,Substitution Nutri-Value
6479,0,29,http://idea.rpi.edu/heals/kb/usda#01001,http://idea.rpi.edu/heals/kb/usda#01030,-0.90223706,0.288591,"BUTTER,WITH SALT","CHEESE,MUENSTER",25,15
2971,0,3191,http://idea.rpi.edu/heals/kb/usda#01001,http://idea.rpi.edu/heals/kb/usda#11344,2.0931509,0.89023566,"BUTTER,WITH SALT","PIGEONPEAS,IMMAT SEEDS,RAW",25,-8
1069,3,211,http://idea.rpi.edu/heals/kb/usda#01004,http://idea.rpi.edu/heals/kb/usda#01251,-1.6633526,0.15931246,"CHEESE,BLUE","CHEESE,MEXICAN BLEND",19,12
1117,3,285,http://idea.rpi.edu/heals/kb/usda#01004,http://idea.rpi.edu/heals/kb/usda#02049,-1.2691754,0.21939844,"CHEESE,BLUE","THYME,FRSH",19,-7
1070,5,2083,http://idea.rpi.edu/heals/kb/usda#01006,http://idea.rpi.edu/heals/kb/usda#08594,1.9754395,0.87819415,"CHEESE,BRIE","CEREALS RTE,GENERAL MILLS,CHOC CHEX",15,14
1123,5,1899,http://idea.rpi.edu/heals/kb/usda#01006,http://idea.rpi.edu/heals/kb/usda#08120,1.9754395,0.87819415,"CHEESE,BRIE","CEREALS,OATS,REG & QUICK,NOT FORT,DRY",15,-5
2349,8,22,http://idea.rpi.edu/heals/kb/usda#01009,http://idea.rpi.edu/heals/kb/usda#01023,-0.97649276,0.27358824,"CHEESE,CHEDDAR","CHEESE,GRUYERE",17,17
2425,8,4870,http://idea.rpi.edu/heals/kb/usda#01009,http://idea.rpi.edu/heals/kb/usda#16031,1.8852755,0.86821586,"CHEESE,CHEDDAR","BEANS,KIDNEY,CALIFORNIA RED,MATURE SEEDS,CKD,BLD,WO/SALT",17,-9
2030,10,2665,http://idea.rpi.edu/heals/kb/usda#01011,http://idea.rpi.edu/heals/kb/usda#10134,-1.0099545,0.26698875,"CHEESE,COLBY","PORK,CURED,HAM,BNLESS,EX LN (APPROX 5% FAT),RSTD",15,7
2332,10,5629,http://idea.rpi.edu/heals/kb/usda#01011,http://idea.rpi.edu/heals/kb/usda#17426,0.24096993,0.5599526,"CHEESE,COLBY","VEAL,LEG,TOP RND,CAP OFF,CUTLET,BNLESS,RAW",15,-4
7135,11,8458,http://idea.rpi.edu/heals/kb/usda#01012,http://idea.rpi.edu/heals/kb/usda#35138,1.1704351,0.76322365,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD","SQUASH,INDIAN,RAW (NAVAJO)",1,0
2073,11,6622,http://idea.rpi.edu/heals/kb/usda#01012,http://idea.rpi.edu/heals/kb/usda#20088,5.6340647,0.99643874,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD","WILD RICE,RAW",1,-6
9059,16,2076,http://idea.rpi.edu/heals/kb/usda#01017,http://idea.rpi.edu/heals/kb/usda#08587,0.4663336,0.6145156,"CHEESE,CREAM","CEREALS RTE,KELLOGG,KELLOGG'S SPL K LOFAT GRANOLA",15,0
9058,16,3725,http://idea.rpi.edu/heals/kb/usda#01017,http://idea.rpi.edu/heals/kb/usda#11990,0.4663336,0.6145156,"CHEESE,CREAM","WASABI,ROOT,RAW",15,-6
7595,18,4593,http://idea.rpi.edu/heals/kb/usda#01019,http://idea.rpi.edu/heals/kb/usda#15013,0.94359475,0.7198252,"CHEESE,FETA","CISCO,RAW",18,-4
2286,18,4890,http://idea.rpi.edu/heals/kb/usda#01019,http://idea.rpi.edu/heals/kb/usda#16051,1.2816921,0.78273773,"CHEESE,FETA","BEANS,WHITE,MATURE SEEDS,CND",18,-8
7525,19,6677,http://idea.rpi.edu/heals/kb/usda#01020,http://idea.rpi.edu/heals/kb/usda#20314,-2.6287596,0.06731028,"CHEESE,FONTINA","CORN GRAIN,WHITE",17,-1
