,Food label,Substitution label
13160,"BUTTER,WITH SALT","CHEESE,CHEDDAR"
1579,"BUTTER,WITH SALT","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ"
2140,"CHEESE,BLUE","MILK SHAKES,THICK VANILLA"
2020,"CHEESE,BLUE","USDA COMMODITY,CHS,CHEDDAR,RED FAT"
4857,"CHEESE,CHEDDAR","MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D"
4935,"CHEESE,CHEDDAR","EGG,WHITE,RAW,FRZ,PAST"
15416,"CHEESE,COLBY","CREAM,SOUR,CULTURED"
4945,"CHEESE,COLBY","EGG,WHITE,RAW,FRZ,PAST"
4789,"CHEESE,FETA","YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ"
4919,"CHEESE,FETA","YOGURT,GREEK,STRAWBERRY,DANNON OIKOS"
3657,"CHEESE,FONTINA","CHEESE,MEXICAN,BLEND,RED FAT"
4282,"CHEESE,FONTINA","CHEESE,COTTAGE,LOWFAT,2% MILKFAT"
3635,"CHEESE,GRUYERE","CREAM,FLUID,LT WHIPPING"
3680,"CHEESE,GRUYERE","CHEESE,RICOTTA,WHOLE MILK"
15391,"CHEESE,PARMESAN,GRATED","YOGURT,CHOC,NONFAT MILK"
3781,"CHEESE,PARMESAN,GRATED","WHEY,ACID,FLUID"
16096,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT","MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)"
16107,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT","EGG,WHITE,RAW,FRESH"
1763,LARD,"SALAD DRSNG,1000 ISLAND DRSNG,RED FAT"
1399,LARD,"FISH OIL,MENHADEN,FULLY HYDR"
1328,"OIL,PNUT,SALAD OR COOKING","OIL,INDUSTRIAL,PALM KERNEL,CONFECTION FAT"
14372,"OIL,PNUT,SALAD OR COOKING","SALAD DRSNG,KRAFT MAYO FAT FREE MAYO DRSNG"
1116,"OIL,COCNT","OIL,INDUSTRIAL,SOY ( PART HYDROGENATED),ALLPURP"
1729,"OIL,COCNT","OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED) & CTTNSD"
14459,"OIL,OLIVE,SALAD OR COOKING","OIL,COCOA BUTTER"
1130,"OIL,OLIVE,SALAD OR COOKING","SALAD DRSNG,HONEY MUSTARD DRSNG,RED CAL"
14526,"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING","OIL,WHEAT GERM"
14471,"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING","SALAD DRSNG,FRENCH DRSNG,FAT-FREE"
1698,"SHORTENING,VEG,HOUSEHOLD,COMP","MARGARINE-LIKE,BUTTER-MARGARINE BLEND,80% FAT,STK,WO/ SALT"
1404,"SHORTENING,VEG,HOUSEHOLD,COMP","VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT"
6688,"GRAVY,BF,CND,RTS","SOUP,BEAN W/ PORK,CND,COND"
6680,"GRAVY,BF,CND,RTS",CAMPBELL'S HOMESTLYE LT NEW ENGLAND CLAM CHOWDER
15816,BLOOD SAUSAGE,HAM&CHS LOAF OR ROLL
5355,BLOOD SAUSAGE,SAUSAGE  CHICK  BF  PORK  SKINLESS  SMOKED
6650,"KIELBASA,FULLY CKD,GRILLED",POULTRY SALAD SNDWCH SPRD
6665,"KIELBASA,FULLY CKD,GRILLED","BEEF,CURED,LUNCHEON MEAT,JELLIED"
278,"APPLES,CND,SWTND,SLICED,DRND,HTD","CHERIMOYA,RAW"
6509,"APRICOTS,RAW","LIMES,RAW"
6502,"APRICOTS,RAW","APPLES,RAW,GALA,W/ SKN"
2320,"CHERRIES,TART,DRIED,SWTND","BLACKBERRIES,FRZ,UNSWTND"
260,"CHERRIES,TART,DRIED,SWTND","LIMES,RAW"
553,"CRANBERRIES,DRIED,SWTND","PEARS,RAW,BOSC"
304,"CRANBERRIES,DRIED,SWTND","ORANGE-GRAPEFRUIT JUC,CND OR BTLD,UNSWTND"
380,"CURRANTS,ZANTE,DRIED","ORANGE JUICE,RAW"
2240,"CURRANTS,ZANTE,DRIED","BLUEBERRIES,WILD,FRZ"
105,"LIME JUICE,RAW","CRABAPPLES,RAW"
106,"LIME JUICE,RAW","PAPAYAS,RAW"
