,Food label,Subs A,Subs B
0,"BUTTER OIL,ANHYDROUS","CHEESE,MEXICAN,QUESO CHIHUAHUA","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY"
1,"CHEESE,BRICK","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MOZZARELLA,WHL MILK"
2,"CHEESE,CHEDDAR","CHEESE,COLBY","EGG,WHL,RAW,FRSH"
3,"CHEESE,FETA","CHEESE,FONTINA","CHEESE,SWISS"
4,"CHEESE,FONTINA","CHEESE,BRIE","CHEESE,SWISS"
5,"CHEESE,GOUDA","CHEESE,MEXICAN BLEND","CHEESE,PROVOLONE,RED FAT"
6,"CHEESE,GRUYERE","CHEESE,RICOTTA,WHOLE MILK","CHEESE,BRIE"
7,"CHEESE,LIMBURGER","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MEXICAN,QUESO ASADERO"
8,"CHEESE,MONTEREY","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MOZZARELLA,WHL MILK"
9,"CHEESE,MOZZARELLA,PART SKIM MILK","CREAM,HALF & HALF,FAT FREE","MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D"
10,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM","CHEESE,MOZZARELLA,WHL MILK","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY"
11,"CHEESE,PARMESAN,GRATED","CHEESE,CHEDDAR","CHEESE,SWISS"
12,"CHEESE,PARMESAN,HARD","CHEESE,LIMBURGER","CHEESE,MOZZARELLA,LO MOIST,PART-SKIM"
13,"CHEESE,PROVOLONE","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MUENSTER"
14,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D","CHEESE,LIMBURGER","CHEESE,MOZZARELLA,LO MOIST,PART-SKIM"
15,"CHEESE,PAST PROCESS,PIMENTO","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MEXICAN,QUESO ASADERO"
16,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MEXICAN,QUESO ASADERO"
17,"CHEESE SPRD,PAST PROCESS,AMERICAN","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MEXICAN,QUESO CHIHUAHUA"
18,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)","YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR","CHEESE,LOFAT,CHEDDAR OR COLBY"
19,"CREAM,FLUID,LT WHIPPING","CREAM,SOUR,CULTURED","SOUR CREAM,LIGHT"
20,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED","YOGURT,GREEK,STRAWBERRY,DANNON OIKOS",ICE CRM SNDWCH
21,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D"
22,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS"
23,"MILK,LO NA,FLUID","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D"
24,"MILK,DRY,WHL,W/ ADDED VITAMIN D","MILK,CND,COND,SWTND","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ"
25,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)","CHEESE,LOFAT,CHEDDAR OR COLBY"
26,"MILK,CND,COND,SWTND","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ","MILK,BTTRMLK,FLUID,CULTURED,LOWFAT"
27,"CHEESE,GOAT,HARD TYPE","YOGURT,GREEK,PLN,NONFAT","CHEESE,COTTAGE,CRMD,LRG OR SML CURD"
28,"CHEESE,MEXICAN,QUESO ANEJO","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MUENSTER"
29,"CHEESE,MEXICAN,QUESO ASADERO","CHEESE,MONTEREY","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY"
30,"CHEESE,MEXICAN,QUESO CHIHUAHUA","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MUENSTER"
31,"SOUR CREAM,LIGHT","MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A","YOGURT,GREEK,PLN,NONFAT"
32,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,"CHEESE,GOAT,SEMISOFT TYPE","EGG,WHL,RAW,FRZ,SALTED,PAST"
33,"CHEESE,FRSH,QUESO FRESCO","CHEESE,MOZZARELLA,WHL MILK","CHEESE,MONTEREY"
34,"ICE CRM,BAR OR STK,CHOC COVERED","CREAM SUB,FLAV,LIQ","YOGURT,GREEK,STRAWBERRY,DANNON OIKOS"
35,"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA","ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED","MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK"
36,"CHEESE SPRD,AMERICAN OR CHEDDAR CHS BASE,RED FAT","CHEESE,PAST PROCESS,CHEDDAR OR AMERICAN,FAT-FREE","EGG,WHL,CKD,HARD-BOILED"
37,"ALLSPICE,GROUND",DILL SEED,"ROSEMARY,FRESH"
