,Food label,Subs A,Subs B,True label
0,"BUTTER OIL,ANHYDROUS","CHEESE,MEXICAN,QUESO CHIHUAHUA","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",Sub B
1,"CHEESE,BRICK","CHEESE,MOZZARELLA,WHL MILK","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",Sub B
2,"CHEESE,CHEDDAR","CHEESE,COLBY","EGG,WHL,RAW,FRSH",Sub B
3,"CHEESE,FETA","CHEESE,SWISS","CHEESE,FONTINA",Sub A
4,"CHEESE,FONTINA","CHEESE,BRIE","CHEESE,SWISS",Sub B
5,"CHEESE,GOUDA","CHEESE,PROVOLONE,RED FAT","CHEESE,MEXICAN BLEND",Sub B
6,"CHEESE,GRUYERE","CHEESE,RICOTTA,WHOLE MILK","CHEESE,BRIE",Sub A
7,"CHEESE,LIMBURGER","CHEESE,MEXICAN,QUESO ASADERO","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",Sub B
8,"CHEESE,MONTEREY","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MOZZARELLA,WHL MILK",Sub A
9,"CHEESE,MOZZARELLA,PART SKIM MILK","MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D","CREAM,HALF & HALF,FAT FREE",Sub A
10,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM","CHEESE,MOZZARELLA,WHL MILK","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",Sub B
11,"CHEESE,PARMESAN,GRATED","CHEESE,SWISS","CHEESE,CHEDDAR",Sub A
12,"CHEESE,PARMESAN,HARD","CHEESE,LIMBURGER","CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",Sub B
13,"CHEESE,PROVOLONE","CHEESE,MUENSTER","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",Sub B
14,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D","CHEESE,MOZZARELLA,LO MOIST,PART-SKIM","CHEESE,LIMBURGER",Sub A
15,"CHEESE,PAST PROCESS,PIMENTO","CHEESE,MEXICAN,QUESO ASADERO","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",Sub B
16,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT","CHEESE,MEXICAN,QUESO ASADERO","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",Sub B
17,"CHEESE SPRD,PAST PROCESS,AMERICAN","CHEESE,MEXICAN,QUESO CHIHUAHUA","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",Sub B
18,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)","YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR","CHEESE,LOFAT,CHEDDAR OR COLBY",Sub A
19,"CREAM,FLUID,LT WHIPPING","CREAM,SOUR,CULTURED","SOUR CREAM,LIGHT",Sub B
20,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED","YOGURT,GREEK,STRAWBERRY,DANNON OIKOS",ICE CRM SNDWCH,Sub A
21,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",Sub B
22,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",Sub A
23,"MILK,LO NA,FLUID","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",Sub A
24,"MILK,DRY,WHL,W/ ADDED VITAMIN D","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ","MILK,CND,COND,SWTND",Sub A
25,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","CHEESE,LOFAT,CHEDDAR OR COLBY","CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",Sub A
26,"MILK,CND,COND,SWTND","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ","MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",Sub A
27,"CHEESE,GOAT,HARD TYPE","CHEESE,COTTAGE,CRMD,LRG OR SML CURD","YOGURT,GREEK,PLN,NONFAT",Sub B
28,"CHEESE,MEXICAN,QUESO ANEJO","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MUENSTER",Sub A
29,"CHEESE,MEXICAN,QUESO ASADERO","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MONTEREY",Sub A
30,"CHEESE,MEXICAN,QUESO CHIHUAHUA","CHEESE,MUENSTER","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",Sub B
31,"SOUR CREAM,LIGHT","YOGURT,GREEK,PLN,NONFAT","MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",Sub A
32,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,"EGG,WHL,RAW,FRZ,SALTED,PAST","CHEESE,GOAT,SEMISOFT TYPE",Sub A
33,"CHEESE,FRSH,QUESO FRESCO","CHEESE,MONTEREY","CHEESE,MOZZARELLA,WHL MILK",Sub B
34,"ICE CRM,BAR OR STK,CHOC COVERED","YOGURT,GREEK,STRAWBERRY,DANNON OIKOS","CREAM SUB,FLAV,LIQ",Sub A
35,"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA","MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK","ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED",Sub B
