,Food label,Subs A,Food Nutri-Value,Subs A Nutri-Value,Subs B,Subs B Nutri-Value
0,"BUTTER,WITH SALT","CHEESE,GRUYERE",25,17,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",1
1,"BUTTER OIL,ANHYDROUS","CHEESE,PROVOLONE",20,18,"CHEESE,MUENSTER",15
2,"CHEESE,BLUE","CHEESE,FETA",19,18,"CHEESE,SWISS",9
3,"CHEESE,BRICK","CHEESE,MOZZARELLA,WHL MILK",15,14,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",9
4,"CHEESE,EDAM","CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",18,15,"CHEESE,WHITE,QUESO BLANCO",15
5,"CHEESE,FETA","CHEESE,CHEDDAR",18,17,"CHEESE,SWISS",9
6,"CHEESE,FONTINA","CHEESE,COLBY",17,15,"CHEESE,SWISS",9
7,"CHEESE,GOUDA","CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",18,15,"CHEESE,MEXICAN BLEND",12
8,"CHEESE,GRUYERE","CHEESE,COLBY",17,15,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",1
9,"CHEESE,PARMESAN,GRATED","CHEESE,FETA",20,18,"CHEESE,SWISS",9
10,"CHEESE,PARMESAN,HARD","CHEESE,PROVOLONE",19,18,"CHEESE,FRSH,QUESO FRESCO",16
11,"CHEESE,PROVOLONE","CHEESE,MEXICAN,QUESO ASADERO",18,16,"CHEESE,FRSH,QUESO FRESCO",16
12,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D","CHEESE,PROVOLONE",19,18,"CHEESE,FRSH,QUESO FRESCO",16
13,"CHEESE,PAST PROCESS,PIMENTO","CHEESE,PROVOLONE",19,18,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",9
14,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT","CHEESE,MEXICAN,QUESO ASADERO",20,16,"CHEESE,MUENSTER",15
15,"CHEESE SPRD,PAST PROCESS,AMERICAN","CHEESE,PROVOLONE",19,18,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",9
16,"MILK,LO NA,FLUID","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",1,0,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",-1
17,"MILK,DRY,WHL,W/ ADDED VITAMIN D","MILK,CND,COND,SWTND",23,16,"CREAM,FLUID,HVY WHIPPING",13
18,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",14,11,"EGG,WHITE,RAW,FRESH",-4
19,"MILK,CND,COND,SWTND","CREAM,FLUID,LT WHIPPING",16,12,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",-2
20,"EGG SUBSTITUTE,POWDER","CHEESE,COTTAGE,CRMD,LRG OR SML CURD",15,1,"YOGURT,GREEK,PLN,NONFAT",-5
21,"CHEESE,MEXICAN,QUESO ANEJO","CHEESE,FRSH,QUESO FRESCO",20,16,"CHEESE,PROVOLONE,RED FAT",14
22,"CHEESE,LOFAT,CHEDDAR OR COLBY","SOUR CREAM,LIGHT",10,5,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",1
23,"SOUR CREAM,LIGHT","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",5,-2,"YOGURT,GREEK,PLN,NONFAT",-5
24,"CHEESE,FRSH,QUESO FRESCO","CHEESE,MUENSTER",16,15,"CHEESE,PROVOLONE,RED FAT",14
25,"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA","MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK",4,-1,"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED",-4
26,"ALLSPICE,GROUND","CINNAMON,GROUND",-3,-4,"THYME,FRSH",-7
27,"SPICES,BAY LEAF","DILL WEED,DRIED",-4,-5,"PEPPERMINT,FRESH",-7
28,CELERY SEED,ONION POWDER,-3,-5,"PEPPERMINT,FRESH",-7
29,CHILI POWDER,"PEPPER,RED OR CAYENNE",6,-2,"PEPPER,BLACK",-6
30,"CLOVES,GROUND","MARJORAM,DRIED",1,-7,"SPICES,CARDAMOM",-7
31,"CORIANDER LEAF,DRIED","MARJORAM,DRIED",-4,-7,"THYME,FRSH",-7
32,CUMIN SEED,"SPICES,OREGANO,DRIED",-4,-6,"MARJORAM,DRIED",-7
33,"DILL WEED,DRIED",CORIANDER SEED,-5,-7,"PEPPERMINT,FRESH",-7
34,"GINGER,GROUND","SPICES,TARRAGON,DRIED",-4,-6,"PEPPERMINT,FRESH",-7
35,"NUTMEG,GROUND","ROSEMARY,FRESH",8,-4,"PEPPERMINT,FRESH",-7
36,ONION POWDER,"SPICES,OREGANO,DRIED",-5,-6,"PEPPERMINT,FRESH",-7
37,POULTRY SEASONING,GARLIC POWDER,-4,-6,"PEPPERMINT,FRESH",-7
38,PUMPKIN PIE SPICE,"ALLSPICE,GROUND",3,-3,"THYME,FRSH",-7
39,"SAGE,GROUND","SAVORY,GROUND",0,-3,"PEPPERMINT,FRESH",-7
40,"SAVORY,GROUND","SPICES,OREGANO,DRIED",-3,-6,"SPICES,TARRAGON,DRIED",-6
41,"BASIL,FRESH","CORIANDER LEAF,DRIED",-2,-4,"MARJORAM,DRIED",-7
42,"VINEGAR,CIDER","CORIANDER LEAF,DRIED",0,-4,"MARJORAM,DRIED",-7
43,"ROSEMARY,FRESH",ONION POWDER,-4,-5,"THYME,FRSH",-7
44,"SPEARMINT,DRIED","SPICES,OREGANO,DRIED",-3,-6,"PEPPERMINT,FRESH",-7
45,"VINEGAR,BALSAMIC","ROSEMARY,FRESH",4,-4,"THYME,FRSH",-7
46,"INF FOR,ME JOH,ENF,NUTR LIPIL,W/ IRO,PDR,NOT RE,W/ ARA & DHA","INF FORMULA,MEAD JOHNSON,ENFAMI,PREMATURE,20 CAL RTF LO IRON",23,1,"BABYFOOD,VEG,MIX VEG STR",-1
47,"INF FORMU,ME JOHNS,ENFAM,NUTRA,LIPI,W/ IRO,RTF,W/ ARA & DHA","BABYFOOD,APPLS W/HAM,STR",1,-1,"BABYFOOD,CARROTS&BF,STR",-4
48,"INF FORMU, ME JOHNS, ENFAM, ENFA LIP, W/IRO, POW, W/AR/AN DH","INF FORM,ABBOT NUT,SIMIL NEOSU,RTF,W/ ARA & DHA",22,2,"BABYFOOD,DSSRT,BANANA YOGURT,STR",2
49,"INF FORMULA, ABBOTT NUTR, SIMILAC, W/ IRON, PDR, NOT RECON","INF FORMULA,NESTLE,GOOD START SUPREME,W/ IRON,PDR",21,20,"BABYFOOD,MEAT,CHICK,STR",-2
50,"INF FORM,MEAD JOHN,NEXT STEP,PROS LIPIL,PDR,W/ ARA & DHA","BABYFOOD,GRAPE JUC,NO SUGAR,CND",19,0,"BABYFOOD,VEG,CARROTS,STR",-1
51,"INF FORMULA,GERBER,GOOD START,PROTECT PLUS,RTF","INF FORMULA,NESTLE,GOOD START ESSENTIALS SOY,W/ IRON,RTF",2,1,"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR",0
52,"MARGARINE,REG,HARD,SOYBN (HYDR)","USDA CMDTY FD,OIL,VEG,SOYBN,REFINED",28,20,"OIL,CANOLA",17
53,"SALAD DRSNG,RANCH DRSNG,COMM,REG","SALAD DRSNG,SESAME SD DRSNG,REG",22,20,"SALAD DRSNG,RUSSIAN DRSNG",19
54,"MARGARINE,INDUS,SOY & PART HYDR SOY OIL,BAKING,SAUCES,CANDY","OIL,SUNFLOWER,LINOLEIC (LESS THAN 60%)",27,20,"VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT",18
55,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,FRIED,BATTER","TURKEY,DK MEAT,MEAT & SKN,RAW",5,0,"EMU,FAN FILLET,CKD,BRLD",-4
56,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD SIMMRD","CHICKEN,STEWING,MEAT ONLY,CKD,STWD",2,0,"USDA CMDTY,CHICK,CND,MEAT ONLY,W/ H2O",-1
57,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,FRIED,FLR","CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,RSTD",2,0,"TURKEY FROM WHL,LT MEAT,RAW",-3
58,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,BATTER","CHICKEN,DK MEAT,THIGH,MEAT & SKN,ENHANCED,CKD,BRSD",7,2,"TURKEY,LIVER,ALL CLASSES,CKD,SIMMRD",0
59,"TURKEY RST,BNLESS,FRZ,SEASONED,LT&DK MEAT,RAW","PHEASANT,CKD,TOTAL EDIBLE",3,0,"PHEASANT,LEG,MEAT ONLY,RAW",-3
60,"CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD","CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,STWD",3,0,"TURKEY,LIVER,ALL CLASSES,RAW",-2
61,"USDA CMDTY,CHICK,CND,MEAT ONLY,W/ H2O","OSTRICH,OYSTER,RAW",-1,-3,"OSTRICH,TIP RAW",-4
62,"CHICKEN,SKN (DRUMSTICKS & THIGHS),CKD,RSTD","CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKN,CKD,STWD",10,-1,"GROUND TURKEY,FAT FREE,PAN-BROILED CRUMBLES",-4
63,"CHICKEN,DK MEAT,THIGH,MEAT & SKN,ENHANCED,RAW","CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,CKD,RSTD",1,-2,"TURKEY,LIVER,ALL CLASSES,RAW",-2
