,NDB_No,Shrt_Desc,nutri_values,nutri_scores,nutri_scores_uri
0,http://idea.rpi.edu/heals/kb/usda#01001,"BUTTER,WITH SALT",25,e,https://w3id.org/um/ken4256/nutriscore/e
1,http://idea.rpi.edu/heals/kb/usda#01002,"BUTTER,WHIPPED,WITH SALT",25,e,https://w3id.org/um/ken4256/nutriscore/e
2,http://idea.rpi.edu/heals/kb/usda#01003,"BUTTER OIL,ANHYDROUS",20,e,https://w3id.org/um/ken4256/nutriscore/e
3,http://idea.rpi.edu/heals/kb/usda#01004,"CHEESE,BLUE",19,e,https://w3id.org/um/ken4256/nutriscore/e
4,http://idea.rpi.edu/heals/kb/usda#01005,"CHEESE,BRICK",15,d,https://w3id.org/um/ken4256/nutriscore/d
5,http://idea.rpi.edu/heals/kb/usda#01006,"CHEESE,BRIE",15,d,https://w3id.org/um/ken4256/nutriscore/d
6,http://idea.rpi.edu/heals/kb/usda#01007,"CHEESE,CAMEMBERT",17,d,https://w3id.org/um/ken4256/nutriscore/d
7,http://idea.rpi.edu/heals/kb/usda#01008,"CHEESE,CARAWAY",16,d,https://w3id.org/um/ken4256/nutriscore/d
8,http://idea.rpi.edu/heals/kb/usda#01009,"CHEESE,CHEDDAR",17,d,https://w3id.org/um/ken4256/nutriscore/d
9,http://idea.rpi.edu/heals/kb/usda#01010,"CHEESE,CHESHIRE",16,d,https://w3id.org/um/ken4256/nutriscore/d
10,http://idea.rpi.edu/heals/kb/usda#01011,"CHEESE,COLBY",15,d,https://w3id.org/um/ken4256/nutriscore/d
11,http://idea.rpi.edu/heals/kb/usda#01012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",1,b,https://w3id.org/um/ken4256/nutriscore/b
12,http://idea.rpi.edu/heals/kb/usda#01013,"CHEESE,COTTAGE,CRMD,W/FRUIT",1,b,https://w3id.org/um/ken4256/nutriscore/b
13,http://idea.rpi.edu/heals/kb/usda#01014,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",-1,a,https://w3id.org/um/ken4256/nutriscore/a
14,http://idea.rpi.edu/heals/kb/usda#01015,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",0,b,https://w3id.org/um/ken4256/nutriscore/b
15,http://idea.rpi.edu/heals/kb/usda#01016,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",-1,a,https://w3id.org/um/ken4256/nutriscore/a
16,http://idea.rpi.edu/heals/kb/usda#01017,"CHEESE,CREAM",15,d,https://w3id.org/um/ken4256/nutriscore/d
17,http://idea.rpi.edu/heals/kb/usda#01018,"CHEESE,EDAM",18,d,https://w3id.org/um/ken4256/nutriscore/d
