,Food label,Substitution label
6526,"BUTTER,WITH SALT","MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D"
795,"BUTTER,WITH SALT","YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D"
1012,"CHEESE,BLUE","MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK"
1012,"CHEESE,BLUE","MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK"
7747,"CHEESE,CHEDDAR","CHEESE,MUENSTER"
7555,"CHEESE,CHEDDAR","MILK SHAKES,THICK VANILLA"
1989,"CHEESE,COLBY","CHEESE,BRICK"
7699,"CHEESE,COLBY","ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED"
7722,"CHEESE,CREAM","MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D"
7722,"CHEESE,CREAM","MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D"
1902,"CHEESE,FETA","CHEESE,COTTAGE,LOWFAT,1% MILKFAT,LACTOSE RED"
1902,"CHEESE,FETA","CHEESE,COTTAGE,LOWFAT,1% MILKFAT,LACTOSE RED"
7570,"CHEESE,FONTINA","YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D"
2185,"CHEESE,FONTINA",EGGNOG
2387,"CHEESE,PARMESAN,GRATED","YOGURT,GREEK,NON FAT,STRAWBERRY,CHOBANI"
2387,"CHEESE,PARMESAN,GRATED","YOGURT,GREEK,NON FAT,STRAWBERRY,CHOBANI"
2368,"CHEESE,SWISS","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ"
2368,"CHEESE,SWISS","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ"
1621,"CREAM,FLUID,HVY WHIPPING",KRAFT BREAKSTONE'S RED FAT SOUR CRM
1621,"CREAM,FLUID,HVY WHIPPING",KRAFT BREAKSTONE'S RED FAT SOUR CRM
7984,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED","CREAM,FLUID,LT WHIPPING"
7984,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED","CREAM,FLUID,LT WHIPPING"
1785,"MILK,DRY,WHL,W/ ADDED VITAMIN D","CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D"
7449,"MILK,DRY,WHL,W/ ADDED VITAMIN D","MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D"
1660,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","CHEESE,GOAT,SOFT TYPE"
1660,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","CHEESE,GOAT,SOFT TYPE"
8865,"SAGE,GROUND",CUMIN SEED
8865,"SAGE,GROUND",CUMIN SEED
7163,LARD,"SALAD DRSNG,MAYO,LT,SMART BALANCE,OMEGA PLUS LT"
2924,LARD,"SALAD DRSNG,MAYO TYPE,REG,W/SALT"
7124,"OIL,OLIVE,SALAD OR COOKING","OIL,COCNT"
7124,"OIL,OLIVE,SALAD OR COOKING","OIL,COCNT"
818,"OIL,SESAME,SALAD OR COOKING","SALAD DRSNG,KRAFT MAYO FAT FREE MAYO DRSNG"
818,"OIL,SESAME,SALAD OR COOKING","SALAD DRSNG,KRAFT MAYO FAT FREE MAYO DRSNG"
713,"MARGARINE,REG,HARD,SOYBN (HYDR)","OIL,INDUSTRIAL,COCNT,CONFECTION FAT,ICE CRM COATINGS"
713,"MARGARINE,REG,HARD,SOYBN (HYDR)","OIL,INDUSTRIAL,COCNT,CONFECTION FAT,ICE CRM COATINGS"
771,"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING","MARGARINE-LIKE,VEG OIL SPRD,FAT FREE,LIQ,W/ SALT"
771,"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING","MARGARINE-LIKE,VEG OIL SPRD,FAT FREE,LIQ,W/ SALT"
665,"SHORTENING FRYING (HVY DUTY),PALM (HYDR)","OIL,CUPU ASSU"
665,"SHORTENING FRYING (HVY DUTY),PALM (HYDR)","OIL,CUPU ASSU"
594,"OIL,CANOLA","SALAD DRSNG,HONEY MUSTARD DRSNG,RED CAL"
594,"OIL,CANOLA","SALAD DRSNG,HONEY MUSTARD DRSNG,RED CAL"
694,"SHORTENING,VEG,HOUSEHOLD,COMP","VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,WO/ SALT"
694,"SHORTENING,VEG,HOUSEHOLD,COMP","VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,WO/ SALT"
5598,"GROUND TURKEY,RAW","DUCK,DOMESTICATED,MEAT ONLY,RAW"
5598,"GROUND TURKEY,RAW","DUCK,DOMESTICATED,MEAT ONLY,RAW"
